Learner g,Learner m,Score,Approach,DGP,level,Coverage,CI Length,Bias,Loss g,Loss m,repetition
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp2,0.9,0.638,0.0348786728934553,0.01503203017611916,1.7526622862628904,0.9728084396340184,500
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp2,0.95,0.764,0.0415605021502273,0.01503203017611916,1.7526622862628904,0.9728084396340184,500
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.9,0.0,0.06598788253706468,0.13048470795365294,1.9493882632563304,1.0624147992608393,500
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.95,0.0,0.0786294118026844,0.13048470795365294,1.9493882632563304,1.0624147992608393,500
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.9,0.092,0.0450048480961515,0.03780612634140066,1.7583565503328924,0.9991400420492937,500
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.95,0.172,0.05362658412447015,0.03780612634140066,1.7583565503328924,0.9991400420492937,500
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp2,0.9,0.902,0.04599869759031349,0.011016558307233774,1.7513679581585158,0.996358190008618,500
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp2,0.95,0.94,0.05481082883943669,0.011016558307233774,1.7513679581585158,0.996358190008618,500
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp3,0.9,0.426,0.06931454796040375,0.04004134564072659,1.9470478710807493,1.2921443410214415,500
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp3,0.95,0.546,0.08259337814687731,0.04004134564072659,1.9470478710807493,1.2921443410214415,500
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp1,0.9,0.868,0.04160542943340649,0.010766955606101051,1.6715896763026044,1.4773030644679437,500
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp1,0.95,0.93,0.04957592694854741,0.010766955606101051,1.6715896763026044,1.4773030644679437,500
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp2,0.9,0.706,0.04117746823251659,0.015444730320919184,1.6238667435533736,1.4555522656672797,500
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp2,0.95,0.818,0.04906597972480611,0.015444730320919184,1.6238667435533736,1.4555522656672797,500
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp3,0.9,0.0,0.06904324805844071,0.15128321194444963,1.9891080939323569,1.6328417545770315,500
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp3,0.95,0.0,0.08227010437458288,0.15128321194444963,1.9891080939323569,1.6328417545770315,500
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp1,0.9,0.872,0.03490468627660247,0.009087617206985168,1.094306952229372,0.9748184939426158,500
